time,roll,pitch,yaw
1.9563860519249711185693740844726562500000000000,26.066,-11.6308,-13.4981
1.9563881904856618493795394897460937500000000000,28.286,-11.6802,-13.5761
1.9563903019386049360036849975585937500000000000,30.4193,-11.8617,-13.509
1.9563923330627907067537307739257812500000000000,32.5294,-12.3426,-13.2359
1.9563944610370237380266189575195312500000000000,34.6531,-13.0861,-12.807
1.9563965631546359509229660034179687500000000000,36.755,-14.0337,-12.2254
1.9563986705013170838356018066406250000000000000,38.8357,-15.0986,-11.6453
1.9564006848475709557533264160156250000000000000,40.8759,-16.1486,-11.1568
1.9564027207517027854919433593750000000000000000,42.862,-17.0426,-10.9197
1.9564049257183555513620376586914062500000000000,44.7052,-17.7318,-10.9306
1.9564059245666772127151489257812500000000000000,46.3984,-18.432,-11.0304
1.9564080563584510236978530883789062500000000000,47.8792,-19.4003,-11.0497
1.9564100791097111999988555908203125000000000000,49.2283,-20.6438,-10.9319
1.9564121444955233484506607055664062500000000000,50.4564,-21.9778,-10.7017
1.9564141758442699909210205078125000000000000000,51.5565,-23.3419,-10.3682
1.9564161992050532251596450805664062500000000000,52.5018,-24.7887,-9.79599
1.9564182913136512041091918945312500000000000000,53.2909,-26.3386,-8.98005
1.9564204159515462815761566162109375000000000000,53.9546,-27.9242,-8.02573
1.9564224131990671157836914062500000000000000000,54.5644,-29.5287,-6.99205
1.9564244337047148495912551879882812500000000000,55.1229,-31.0857,-5.98117
1.9564265422704424709081649780273437500000000000,55.6458,-32.5405,-5.03564
1.9564287437724363058805465698242187500000000000,56.0825,-33.8789,-4.18677
1.9564307970640223473310470581054687500000000000,56.4574,-35.1371,-3.42184
1.9564328022032663226127624511718750000000000000,56.776,-36.2009,-2.85072
1.9564348338407348841428756713867187500000000000,57.0567,-37.0174,-2.51412
1.9564368641308359801769256591796875000000000000,57.2824,-37.3934,-2.50271
1.9564379529319677501916885375976562500000000000,57.404,-37.315,-2.84417
1.9564399820030219852924346923828125000000000000,57.3464,-36.9148,-3.43674
1.9564420129988867789506912231445312500000000000,57.1411,-36.2172,-4.29355
1.9564440736689135432243347167968750000000000000,56.759,-35.2767,-5.39475
1.9564461850897762924432754516601562500000000000,56.2569,-34.1,-6.72848
1.9564483847311202436685562133789062500000000000,55.6269,-32.6874,-8.31858
1.9564505838271006941795349121093750000000000000,54.8126,-31.2097,-9.96543
1.9564526444650471210479736328125000000000000000,53.7579,-29.7273,-11.5706
1.9564545717457070946693420410156250000000000000,52.4149,-28.2559,-13.0948
1.9564565918663926422595977783203125000000000000,50.8134,-26.7885,-14.5142
1.9564586172161467373371124267578125000000000000,48.9972,-25.1969,-15.9563
1.9564607249798696488142013549804687500000000000,47.0508,-23.4565,-17.4558
1.9564627510995481163263320922851562500000000000,45.0229,-21.5923,-18.9864
1.9564648973274007439613342285156250000000000000,42.8889,-19.6987,-20.4692
1.9564659977094754576683044433593750000000000000,40.784,-17.9051,-21.7976
1.9564680998912483453750610351562500000000000000,38.6357,-16.2019,-22.9554
1.9564702054735194891691207885742187500000000000,36.5637,-14.601,-24.0373
1.9564722342237722128629684448242187500000000000,34.4344,-13.1463,-25.0057
1.9564742476397011429071426391601562500000000000,32.0894,-11.867,-25.793
1.9564763158806491643190383911132812500000000000,29.5834,-10.7358,-26.3407
1.9564784154639273881912231445312500000000000000,27.0039,-9.7124,-26.6477
1.9564804402041584253311157226562500000000000000,24.491,-8.74014,-26.7712
1.9564825639758884906768798828125000000000000000,22.0843,-7.69571,-26.8312
1.9564845893577229231595993041992187500000000000,19.7324,-6.5953,-26.8917
1.9564867270522490143775939941406250000000000000,17.4232,-5.54003,-26.9391
1.9564887390566505491733551025390625000000000000,15.0803,-4.57277,-26.9364
1.9564908233376856893301010131835937500000000000,12.7056,-3.69416,-26.9211
1.9564919214741483330726623535156250000000000000,10.2627,-2.80629,-26.8726
1.9564939416910745203495025634765625000000000000,7.73991,-1.81826,-26.7244
1.9564960963880930095911026000976562500000000000,5.17303,-0.827316,-26.325
1.9564981496796794235706329345703125000000000000,2.61506,0.0773473,-25.6153
1.9565002652388852089643478393554687500000000000,0.13477,0.944008,-24.5392
1.9565023677414596080780029296875000000000000000,-2.26152,1.91344,-23.0428
1.9565043964275516569614410400390625000000000000,-4.62461,3.01997,-21.2021
1.9565064651817824691534042358398437500000000000,-6.9416,4.2704,-19.0749
1.9565085015671167522668838500976562500000000000,-9.17323,5.66494,-16.6428
1.9565105261469464749097824096679687500000000000,-11.2198,7.18372,-13.9037
1.9565127397752463817596435546875000000000000000,-13.0898,8.8065,-10.8783
